Week,Fever_Antigua and Barbuda,Headache_Antigua and Barbuda,Cough_Antigua and Barbuda,Fever_Bahamas,Headache_Bahamas,Cough_Bahamas,Fever_Barbados,Headache_Barbados,Cough_Barbados,Fever_Peru,Headache_Peru,Cough_Peru,Fever_Saint Lucia,Headache_Saint Lucia,Cough_Saint Lucia,Fever_Chile,Headache_Chile,Cough_Chile,Fever_Mexico,Headache_Mexico,Cough_Mexico,Fever_Belize,Headache_Belize,Cough_Belize,Fever_Uruguay,Headache_Uruguay,Cough_Uruguay,Fever_Dominican Republic,Headache_Dominican Republic,Cough_Dominican Republic,Fever_Guyana,Headache_Guyana,Cough_Guyana,Fever_Suriname,Headache_Suriname,Cough_Suriname,Fever_Dominica,Headache_Dominica,Cough_Dominica,Fever_Paraguay,Headache_Paraguay,Cough_Paraguay,Fever_Nicaragua,Headache_Nicaragua,Cough_Nicaragua,Fever_Haiti,Headache_Haiti,Cough_Haiti,Fever_Costa Rica,Headache_Costa Rica,Cough_Costa Rica,Fever_Brazil,Headache_Brazil,Cough_Brazil,Fever_Panama,Headache_Panama,Cough_Panama,Fever_Grenada,Headache_Grenada,Cough_Grenada,Fever_Ecuador,Headache_Ecuador,Cough_Ecuador,Fever_El Salvador,Headache_El Salvador,Cough_El Salvador,Fever_Saint Vincent and the Grenadines,Headache_Saint Vincent and the Grenadines,Cough_Saint Vincent and the Grenadines,Fever_Jamaica,Headache_Jamaica,Cough_Jamaica,Fever_Argentina,Headache_Argentina,Cough_Argentina,Fever_Venezuela,Headache_Venezuela,Cough_Venezuela,Fever_Colombia,Headache_Colombia,Cough_Colombia,Fever_Bolivia,Headache_Bolivia,Cough_Bolivia,Fever_Guatemala,Headache_Guatemala,Cough_Guatemala,Fever_Honduras,Headache_Honduras,Cough_Honduras,Fever_Trinidad and Tobago,Headache_Trinidad and Tobago,Cough_Trinidad and Tobago,Fever_Cuba,Headache_Cuba,Cough_Cuba
2021-02-28,24,12,12,8,9,12,41,51,0,44,29,24,11,38,6,35,33,22,21,33,23,0,26,0,38,26,16,29,20,18,31,28,5,17,58,18,29,29,86,34,21,15,14,22,37,12,12,14,19,34,31,34,30,22,31,28,17,0,24,12,25,21,21,24,16,15,4,4,0,47,36,26,23,15,12,34,35,40,23,24,20,17,18,17,20,26,22,16,16,15,21,55,12,16,25,16
2021-03-07,36,48,12,13,9,13,19,19,28,37,23,22,11,11,6,39,31,21,18,32,21,21,26,10,48,25,19,16,17,16,26,76,15,36,0,19,28,0,0,35,16,21,25,23,31,17,10,7,15,35,26,36,32,24,21,24,20,0,12,0,26,26,16,20,31,15,4,13,0,59,49,24,25,15,13,47,33,49,23,24,20,20,14,17,26,24,24,13,15,17,34,52,12,39,18,10
2021-03-14,34,0,0,11,33,4,18,55,18,34,25,21,15,20,16,39,35,26,18,31,23,20,34,15,40,18,24,23,26,24,19,31,24,17,52,9,56,28,0,39,17,22,13,20,37,17,13,6,24,37,29,38,31,24,24,23,19,0,36,0,30,23,21,14,22,19,9,9,8,49,52,33,23,13,13,47,39,44,24,23,19,17,16,18,25,24,30,18,13,18,35,57,34,26,16,21
2021-03-21,12,12,24,21,26,17,19,19,10,36,26,25,23,46,12,41,35,30,19,31,23,16,21,16,50,23,26,26,28,17,36,49,15,19,47,10,0,0,0,35,24,17,24,26,32,12,12,9,26,36,29,39,33,25,27,22,24,27,27,14,32,24,25,21,24,21,4,9,9,33,46,43,26,17,17,51,42,49,26,26,24,22,16,18,24,25,31,14,13,21,25,43,23,25,21,9
2021-03-28,37,0,0,8,34,13,21,24,5,43,27,36,6,42,12,42,37,28,22,31,28,39,13,6,53,26,28,20,25,28,35,44,11,50,20,0,0,60,0,43,31,29,31,23,24,19,19,19,27,32,28,33,32,23,20,25,21,26,66,0,39,27,32,26,28,20,0,0,0,40,41,31,32,18,18,54,49,66,37,30,32,22,18,20,38,21,32,14,20,21,19,42,22,19,20,7
2021-04-04,12,0,25,8,34,4,15,24,5,37,25,27,23,6,0,38,39,26,21,30,26,24,37,0,43,20,18,25,23,24,29,38,28,9,18,36,28,28,0,39,28,22,20,23,31,21,7,18,32,48,28,32,30,22,28,30,22,0,0,27,36,30,30,19,21,17,0,15,0,34,38,26,37,18,19,54,44,53,35,27,30,26,18,19,33,26,26,19,14,21,36,56,18,33,25,7
2021-04-11,12,36,24,16,44,8,10,53,19,34,23,26,6,12,6,39,40,29,21,33,25,49,22,11,35,23,19,29,28,18,22,51,10,0,44,9,0,27,0,39,24,22,35,23,32,16,11,9,22,46,41,31,30,20,24,36,20,26,13,0,36,24,26,20,29,16,5,11,5,36,40,19,39,21,21,40,39,39,34,30,31,20,19,22,29,25,33,21,19,25,34,47,24,21,15,7
2021-04-18,36,12,0,8,52,24,21,40,10,33,25,28,0,12,12,34,38,22,26,42,27,32,11,16,37,18,19,25,22,24,27,35,35,0,17,17,26,0,0,42,21,18,20,18,24,15,4,4,33,28,37,31,30,20,28,26,22,12,25,0,41,25,29,16,23,20,5,9,0,24,64,13,36,19,20,44,34,44,35,28,32,25,17,23,30,22,30,14,14,21,33,49,34,29,19,9
2021-04-25,35,35,0,20,31,27,26,15,15,30,22,23,24,30,6,29,34,23,21,44,26,43,22,11,31,32,15,28,27,21,21,25,25,8,48,40,79,0,26,30,19,22,14,17,20,11,2,0,35,43,42,29,28,19,15,27,22,13,13,13,32,27,27,18,29,21,9,9,0,28,47,27,33,20,21,35,30,37,29,27,32,22,20,26,29,28,33,14,21,21,43,60,31,28,19,21
2021-05-02,0,37,12,37,32,28,16,30,20,27,20,22,0,12,6,28,32,23,20,40,25,11,17,17,26,22,17,26,22,25,11,37,26,25,33,17,26,26,0,35,21,33,20,18,34,9,9,7,31,32,50,29,28,20,22,24,21,0,12,0,31,26,26,21,20,19,14,9,0,29,45,22,28,18,21,36,33,34,32,27,28,27,19,21,26,21,23,13,20,28,41,56,41,16,11,6
2021-05-09,0,12,0,25,53,16,5,31,10,28,21,20,12,30,0,30,33,23,18,30,22,17,34,17,26,21,18,31,30,21,11,21,27,34,34,42,25,0,0,27,14,30,29,23,24,22,7,7,30,46,50,31,28,22,27,19,21,0,51,64,28,23,20,23,22,18,0,14,9,29,34,21,29,17,22,41,31,33,32,29,27,27,19,27,27,23,26,14,14,16,86,67,45,26,17,17
2021-05-16,13,39,0,12,16,16,11,36,21,27,22,24,0,48,6,29,32,27,22,31,24,28,28,17,28,22,21,30,27,24,38,26,26,33,42,25,0,51,0,40,24,27,19,22,25,11,11,9,35,53,52,34,29,26,31,25,29,0,53,0,27,19,18,30,27,16,5,10,0,17,55,25,32,18,22,40,34,40,37,29,29,33,22,31,33,29,27,8,17,16,68,82,59,39,20,9
2021-05-23,27,53,13,20,41,20,23,32,26,29,27,26,0,19,6,34,34,28,19,28,24,0,46,17,35,26,14,36,21,24,23,59,27,26,43,26,26,26,0,31,20,39,26,26,26,28,14,12,36,49,45,36,31,27,27,33,26,41,27,14,25,22,18,20,22,17,0,4,4,23,32,19,34,21,25,47,32,41,38,29,32,33,20,33,34,30,28,14,18,21,60,84,65,31,34,11
2021-05-30,0,14,0,24,32,16,23,26,5,24,22,23,12,37,6,40,29,29,19,27,24,34,17,22,28,18,27,39,28,29,27,46,41,35,35,17,0,99,25,39,28,36,19,18,25,21,12,16,37,56,45,36,31,29,45,37,37,13,26,13,25,23,17,19,19,24,0,0,4,28,48,27,35,19,20,50,36,46,42,29,35,28,27,35,32,27,30,17,25,26,57,77,44,32,20,17
2021-06-06,0,40,0,28,24,8,17,37,21,18,18,19,23,6,6,28,32,35,20,27,25,28,6,22,33,19,26,30,31,30,32,40,35,58,99,0,0,25,0,37,26,35,14,26,39,16,11,7,36,61,43,33,29,26,48,32,30,39,26,0,21,19,21,22,25,27,13,4,4,20,39,22,33,18,20,46,36,42,45,31,40,24,29,35,25,23,32,12,13,19,65,62,42,32,28,9
2021-06-13,14,14,0,20,47,20,33,5,10,21,20,21,16,22,11,30,34,37,20,29,32,28,17,6,27,15,19,31,28,20,54,51,31,51,68,25,0,0,0,27,22,35,22,20,19,16,11,11,33,53,40,28,28,25,43,32,26,0,13,26,22,22,19,24,23,26,16,20,0,32,38,11,25,17,19,47,34,48,46,34,43,27,22,31,32,23,38,13,16,22,60,71,40,32,20,16
2021-06-20,14,14,14,25,41,37,23,11,11,21,20,20,36,18,18,31,29,34,24,30,31,18,31,18,26,22,22,28,27,23,27,31,31,17,43,17,0,0,24,27,21,26,25,25,31,12,17,15,40,50,37,27,28,23,49,34,34,13,13,13,26,22,26,24,30,38,0,4,13,25,30,8,30,19,19,46,44,45,46,31,47,25,35,27,38,27,39,20,20,14,41,71,45,31,15,23
2021-06-27,0,27,0,28,44,24,19,35,0,21,18,20,18,12,0,32,31,32,24,30,32,48,36,30,23,22,22,28,26,22,38,36,21,17,17,25,0,24,0,19,19,27,23,20,34,10,31,7,22,38,43,24,26,23,34,28,36,0,0,0,28,22,25,29,21,39,4,8,0,21,38,17,24,16,19,54,37,51,46,34,45,17,21,22,40,35,37,14,10,30,54,66,36,57,28,26
2021-07-04,41,41,27,16,33,20,6,24,12,21,20,19,6,6,25,28,30,34,26,34,39,42,66,36,21,15,24,25,30,18,40,43,27,44,36,9,0,24,24,38,18,31,30,29,40,8,8,5,28,48,48,26,27,23,33,23,27,28,28,28,30,24,24,32,23,48,4,0,0,18,31,24,29,19,21,52,39,49,43,29,44,19,19,25,42,37,33,17,24,31,38,49,42,44,36,34
2021-07-11,13,78,0,47,25,51,29,49,27,22,21,17,18,24,12,26,27,33,30,38,48,24,0,24,26,16,28,28,26,17,28,42,11,30,50,0,24,24,71,26,21,35,26,31,41,13,11,13,25,41,51,27,27,25,36,26,30,25,25,0,22,23,26,23,22,42,0,0,0,33,39,27,29,17,23,50,33,52,38,29,39,20,20,21,34,26,41,24,17,25,45,65,26,33,21,8
2021-07-18,40,54,0,35,44,44,30,28,11,21,20,20,0,6,0,27,34,38,38,39,52,44,56,6,27,19,30,23,27,24,36,11,34,42,73,0,52,77,0,23,23,24,21,30,37,34,14,20,30,59,57,25,28,24,29,32,37,39,66,13,25,21,28,30,34,47,9,5,5,30,28,28,26,18,25,42,38,52,35,31,35,18,21,15,41,32,38,22,23,31,31,64,33,87,28,22
2021-07-25,0,26,26,38,50,46,6,52,10,23,24,18,19,26,0,25,32,30,39,39,57,37,6,0,15,24,22,26,23,27,35,44,17,0,19,10,50,0,0,22,24,31,25,34,27,25,14,8,37,43,54,24,26,23,29,28,32,13,26,13,28,23,21,28,21,49,4,0,22,35,58,26,22,16,25,52,42,67,31,27,29,22,19,19,37,31,42,25,19,32,40,70,44,70,21,26
2021-08-01,0,27,0,32,40,32,11,15,5,24,24,20,25,6,12,27,31,30,36,37,54,19,44,25,16,15,40,32,23,18,29,33,38,28,37,37,52,26,26,23,15,22,26,24,30,14,8,14,40,41,55,22,25,23,29,30,31,0,13,0,26,23,26,20,18,51,5,5,0,48,36,42,22,17,25,56,35,53,32,27,34,22,13,20,45,30,39,21,20,27,50,62,15,64,41,34
2021-08-08,24,12,12,19,42,54,19,18,18,23,20,22,11,17,17,27,30,33,38,39,55,36,30,24,34,21,33,28,23,21,35,27,33,47,57,19,43,87,43,20,15,22,31,24,53,21,13,16,28,42,56,25,26,23,33,30,28,12,49,12,27,19,30,26,26,34,0,9,4,53,43,50,21,14,26,55,36,54,28,28,28,18,19,22,46,33,46,19,17,33,34,57,35,54,28,71
2021-08-15,38,38,0,13,38,34,21,20,15,21,20,22,18,30,0,27,30,32,32,39,50,36,18,42,26,17,57,29,23,18,18,50,44,36,18,54,0,24,24,31,20,25,31,21,63,13,15,5,38,42,51,27,28,26,34,30,25,35,59,36,25,21,24,33,28,39,0,18,9,68,55,34,24,15,29,50,40,58,32,27,29,26,17,23,46,31,54,26,17,34,28,57,29,99,30,49
2021-08-22,0,28,42,32,60,32,11,27,5,23,20,19,6,18,6,25,29,32,27,35,44,18,12,23,36,20,59,29,31,29,30,23,23,18,98,27,25,75,50,21,22,27,31,43,48,28,3,15,26,42,57,25,27,24,42,29,32,36,61,25,25,23,18,32,28,39,5,0,5,56,70,41,19,16,28,50,39,56,28,26,30,15,20,21,46,36,47,30,18,36,33,69,33,76,27,53
2021-08-29,73,29,29,28,35,16,26,58,24,24,19,18,43,12,12,27,27,24,23,29,37,26,16,36,31,15,57,25,19,21,37,35,35,56,28,37,75,25,100,20,18,26,51,28,67,8,5,13,26,43,57,23,26,25,28,28,22,35,35,0,22,17,17,31,29,40,24,5,10,88,57,56,19,13,26,52,35,51,26,25,33,18,19,25,38,34,48,17,14,28,41,49,33,100,33,46
2021-09-05,46,15,31,16,68,56,32,20,10,22,17,17,6,18,12,28,25,25,24,29,32,37,10,31,22,14,38,25,20,22,49,23,53,40,40,50,0,50,50,18,14,22,43,50,100,22,3,5,30,37,54,25,25,26,22,27,33,100,78,56,20,19,18,30,30,37,0,0,11,31,59,33,19,13,24,42,39,49,26,24,27,19,14,16,40,33,41,24,18,22,30,39,17,78,29,40
2021-09-12,0,43,100,30,30,47,26,24,15,20,19,19,23,23,6,27,29,29,22,28,32,52,31,57,28,16,38,32,29,26,48,45,40,40,70,30,100,75,0,17,21,22,33,43,77,9,12,7,33,41,57,25,26,25,28,33,32,53,53,42,20,14,18,30,27,51,0,15,5,32,61,42,19,15,23,50,43,42,25,25,32,15,15,23,42,34,37,17,17,34,30,37,23,63,22,35
2021-09-19,14,14,0,28,32,43,16,68,14,22,20,18,17,28,0,31,33,32,20,27,31,48,21,32,20,20,26,26,23,27,30,34,28,39,29,29,0,24,0,18,17,16,45,25,56,10,7,10,34,40,51,25,24,24,22,24,39,42,63,84,22,22,20,27,34,57,10,5,5,25,36,42,20,15,26,40,33,42,29,22,30,16,19,25,34,28,39,23,14,26,23,40,26,71,25,39
2021-09-26,0,53,13,40,28,24,15,28,38,20,19,15,11,17,28,29,27,28,20,26,34,51,26,46,21,23,26,30,17,32,35,22,33,49,49,10,0,73,0,21,15,19,35,34,50,22,17,7,36,35,44,25,25,25,23,19,33,21,43,11,20,21,19,31,27,45,15,0,5,35,40,26,18,14,24,48,34,52,25,24,31,20,18,24,27,24,29,18,16,34,30,46,25,58,22,17
2021-10-03,0,54,27,16,32,32,20,28,47,19,19,16,11,11,6,26,25,28,21,29,33,10,20,35,25,20,28,29,20,25,41,11,11,20,39,10,23,23,23,18,16,22,40,26,34,17,10,7,27,42,42,24,24,27,17,22,31,21,73,32,22,23,19,24,24,49,0,9,22,27,32,29,20,16,28,43,30,53,31,23,36,15,13,27,31,26,31,15,18,23,25,47,24,61,20,24
2021-10-10,28,43,43,31,53,49,11,38,22,24,21,17,12,6,17,31,30,28,22,28,33,32,21,26,33,15,25,32,29,34,30,45,28,38,9,38,0,25,0,21,16,26,16,19,41,18,12,14,30,48,38,26,25,27,24,23,29,12,58,12,23,20,23,31,36,40,4,13,4,18,42,38,21,15,29,43,36,46,29,26,36,20,10,22,35,32,28,16,19,22,36,34,27,38,28,22
2021-10-17,0,57,14,26,35,48,46,21,37,22,19,19,24,30,0,30,30,28,19,26,36,31,10,26,25,16,32,43,27,31,18,49,61,17,42,25,26,26,0,26,16,23,20,27,47,21,9,11,37,38,47,25,24,29,22,25,33,11,11,34,18,17,21,29,25,41,13,18,4,24,27,29,23,14,27,53,29,57,29,28,35,21,16,27,24,20,33,16,15,23,36,43,35,38,14,29
2021-10-24,14,14,0,9,26,31,34,26,52,22,21,22,0,13,13,40,30,27,19,26,40,16,26,31,38,22,34,40,24,33,28,52,31,24,16,33,0,25,0,20,19,29,20,23,28,21,9,9,29,40,36,28,25,29,28,33,34,11,45,11,18,18,25,19,25,35,9,0,9,28,47,23,23,14,29,47,33,53,25,23,31,20,11,22,27,25,35,15,15,18,36,38,32,47,14,27
2021-10-31,56,28,14,22,27,22,28,31,31,25,22,22,6,19,25,40,31,34,18,26,44,48,32,16,30,19,39,47,27,41,35,33,22,25,0,34,0,53,26,26,16,37,21,27,44,12,19,12,31,46,33,27,25,29,28,27,26,11,23,11,24,24,25,19,28,38,14,14,5,30,33,36,19,13,26,55,34,52,29,24,34,17,17,16,26,20,32,19,11,21,49,43,57,49,26,41
2021-11-07,13,27,13,17,13,68,44,51,21,21,21,23,19,6,6,44,29,32,18,24,44,21,16,27,31,17,26,51,29,36,34,27,21,33,100,17,0,26,0,29,18,24,18,17,37,12,22,5,21,35,40,26,24,28,22,23,33,11,11,11,26,23,26,17,28,33,19,0,5,34,35,29,24,14,25,60,35,56,29,22,39,20,15,21,26,21,31,13,13,17,47,35,36,43,19,30
2021-11-14,12,12,23,25,21,39,41,39,34,22,19,22,17,29,0,38,29,29,17,25,44,34,20,10,26,18,36,42,23,31,5,15,56,16,33,16,23,69,0,24,18,28,14,21,36,28,5,14,20,28,33,26,25,29,29,36,44,10,21,0,21,17,22,8,16,23,4,8,8,30,48,24,20,14,23,57,33,74,30,22,39,21,18,18,25,18,34,16,18,18,47,45,39,58,17,33
2021-11-21,11,67,22,35,17,17,45,21,17,25,20,24,39,11,16,39,28,35,19,27,45,43,10,29,29,15,31,35,17,32,37,35,20,8,32,8,22,22,66,25,20,26,21,24,57,17,24,9,24,31,33,28,25,29,31,28,42,30,20,10,24,19,21,18,24,26,4,0,0,30,31,33,24,12,23,51,30,54,29,23,38,22,12,20,23,23,32,10,15,24,45,48,65,41,19,45
2021-11-28,0,10,49,10,16,20,15,21,25,26,20,21,16,16,0,33,25,31,17,24,44,24,14,42,29,14,27,33,19,33,16,25,75,55,24,16,0,0,0,28,22,26,25,32,31,19,13,4,23,45,46,30,25,32,29,27,37,9,18,28,21,17,20,20,22,28,8,12,4,29,39,40,21,14,21,54,34,51,31,23,37,18,16,21,18,22,25,16,14,19,56,30,57,42,19,28
2021-12-05,0,0,10,10,27,17,19,32,32,24,17,20,11,23,11,32,28,31,18,22,49,20,25,44,29,19,25,35,22,34,6,42,58,16,32,49,22,22,22,30,16,26,25,31,14,26,17,20,21,38,52,35,24,35,32,22,38,20,10,0,23,20,17,17,24,25,17,17,17,20,37,33,23,13,20,47,31,65,37,24,42,28,14,28,23,31,45,13,13,23,74,56,63,42,14,39
2021-12-12,0,20,10,17,35,17,11,25,21,23,19,23,17,6,6,41,27,32,19,26,50,20,10,25,28,14,28,33,20,36,69,27,65,32,32,32,0,0,23,27,21,30,16,21,38,23,16,18,17,28,43,47,26,41,37,22,43,10,10,0,25,21,27,17,29,25,9,4,9,32,33,22,22,14,18,47,31,57,39,23,46,26,22,22,33,20,34,21,16,32,47,40,66,43,18,30
2021-12-19,11,0,11,15,30,37,9,30,34,34,23,31,0,25,12,36,26,30,22,26,61,6,25,43,45,18,35,64,23,56,52,12,0,17,9,9,29,0,58,52,17,34,15,39,38,28,13,33,20,22,47,74,28,59,56,35,65,12,12,24,36,22,34,22,24,35,5,10,10,40,29,43,28,14,20,47,29,60,45,29,49,33,17,26,44,26,39,39,20,45,52,59,70,38,17,41
2021-12-26,31,21,41,49,35,84,25,43,20,46,27,40,11,0,22,49,31,35,30,31,77,40,17,35,45,17,49,100,35,90,36,86,63,44,62,97,0,0,26,62,19,42,19,24,35,66,26,29,26,37,61,91,32,86,68,38,85,23,45,11,59,33,55,19,23,38,5,5,0,59,49,50,52,19,27,49,27,79,68,31,70,81,38,65,67,28,77,52,20,100,82,75,63,54,12,39
2022-01-02,48,29,58,33,36,68,23,18,25,73,31,55,11,16,16,51,28,36,38,33,84,78,26,57,48,21,44,96,35,92,60,26,67,55,55,70,49,49,0,86,31,62,19,30,39,60,15,40,37,44,72,100,35,88,81,40,78,48,48,10,69,29,70,31,32,41,31,4,8,100,69,88,89,24,41,67,35,81,88,33,100,80,29,89,68,37,100,40,22,74,57,31,59,51,21,41
2022-01-09,0,29,58,30,30,33,33,28,31,100,37,74,11,11,16,56,37,37,46,41,100,49,29,59,100,33,40,46,31,74,32,45,100,63,16,55,0,63,21,100,34,93,29,28,28,39,10,17,48,55,67,88,39,82,83,49,90,37,28,9,80,32,85,47,34,62,28,8,16,78,39,70,100,27,48,72,49,93,84,40,95,74,35,100,58,38,84,32,25,58,67,65,69,66,18,56
2022-01-16,10,0,10,34,24,37,31,43,32,84,34,76,40,23,28,58,38,45,46,43,98,65,20,45,87,30,51,30,22,35,37,40,50,25,25,41,22,0,66,75,35,75,35,26,41,40,21,12,46,50,62,89,39,74,93,40,84,49,29,10,47,25,59,61,31,100,8,21,8,63,41,60,75,24,50,80,45,100,64,34,79,41,38,72,45,25,64,34,26,61,62,60,64,60,19,36
2022-01-23,10,21,31,18,29,22,31,18,18,55,28,64,17,17,28,79,39,55,34,39,83,61,21,61,86,25,34,31,24,32,32,51,26,33,66,50,92,0,46,47,25,53,43,23,76,22,10,17,59,43,60,67,34,58,65,49,76,21,42,11,34,24,39,43,42,72,4,9,26,20,39,48,48,20,34,73,37,94,45,32,54,35,30,46,45,25,61,27,24,37,58,71,87,58,18,37
2022-01-30,0,0,21,7,26,11,36,34,34,37,26,38,6,6,6,87,42,55,26,34,63,43,33,27,69,27,28,25,26,28,17,26,47,35,62,44,24,24,0,39,24,33,39,34,58,10,15,8,47,51,75,39,30,38,50,26,52,0,23,57,27,20,29,26,29,49,19,5,32,41,32,32,34,18,24,55,32,76,33,25,40,17,17,20,47,26,62,21,25,36,65,51,61,40,18,18
2022-02-06,21,32,21,18,11,26,20,22,37,31,23,27,12,12,6,74,36,56,22,30,49,21,16,11,58,26,24,28,20,29,22,42,37,25,51,51,45,45,23,16,19,20,34,21,64,15,15,15,46,46,56,31,28,27,43,28,41,22,0,11,29,23,23,19,30,38,9,9,5,24,48,37,27,17,19,39,31,65,27,25,35,12,13,15,40,24,48,14,17,31,49,66,44,47,20,34
2022-02-13,10,0,41,18,26,18,8,35,47,28,23,20,12,12,12,67,34,51,20,28,38,10,42,31,34,32,21,26,20,24,28,52,26,0,42,33,0,46,23,26,19,22,32,31,46,21,30,12,32,48,51,29,26,24,30,30,24,0,11,0,24,22,15,11,32,31,18,18,5,25,28,30,31,15,21,31,26,41,27,22,36,18,15,15,35,17,35,12,26,29,72,41,45,38,23,28
2022-02-20,10,21,10,22,29,22,36,11,26,27,20,20,6,6,12,59,35,45,20,28,32,26,21,5,37,17,22,25,25,22,33,31,21,41,41,16,0,0,0,18,21,8,24,16,52,21,16,12,17,43,48,28,26,23,20,25,30,0,33,11,26,21,20,13,24,21,5,14,18,28,31,28,29,14,17,29,30,39,23,23,33,20,11,11,25,27,39,11,18,21,51,47,61,29,19,28
2022-02-27,31,10,20,11,11,15,12,23,30,27,20,19,12,12,6,43,34,40,17,27,30,16,16,21,24,21,16,24,20,21,38,36,31,33,25,17,0,77,26,18,18,16,21,38,42,13,23,10,35,30,52,29,26,26,27,35,30,32,32,0,30,21,20,16,16,35,5,5,9,35,26,36,40,16,20,33,27,37,23,23,32,20,20,23,22,22,38,16,11,24,32,41,49,22,19,35
2022-03-06,19,19,0,21,17,14,26,7,45,29,22,19,6,17,0,44,29,34,20,28,28,21,47,16,21,18,19,26,18,31,11,71,15,8,59,34,0,0,22,23,16,22,22,27,30,5,9,7,29,26,30,29,25,24,19,25,27,10,10,21,29,24,24,18,26,23,0,5,0,31,38,31,39,15,24,24,30,39,25,21,33,15,14,17,32,23,27,11,17,17,34,60,33,46,22,30
2022-03-13,29,10,19,10,17,10,11,28,17,26,18,26,6,0,11,46,33,42,19,31,34,10,10,25,28,22,27,23,23,30,33,15,10,9,17,35,0,22,0,24,11,21,25,25,34,31,13,11,23,42,44,28,26,27,28,26,33,10,21,10,33,20,31,18,24,25,9,0,5,25,27,22,38,17,28,23,33,36,25,23,36,15,17,21,20,23,28,15,11,15,47,42,44,51,18,35
2022-03-20,20,20,10,18,28,21,27,11,11,29,19,30,12,30,6,40,34,44,20,29,37,21,42,21,26,15,25,29,30,25,22,31,15,17,61,17,0,22,0,22,22,36,19,26,40,16,16,9,26,36,57,29,26,29,28,30,29,0,11,11,34,25,31,17,22,23,5,5,0,27,49,30,32,16,29,25,25,38,29,26,38,20,19,26,23,26,32,14,12,22,32,56,42,41,19,23
2022-03-27,38,0,38,10,34,27,12,29,29,26,20,30,12,0,0,34,27,40,20,33,36,25,10,5,22,14,25,31,28,25,16,35,30,34,42,67,0,21,21,24,22,28,17,28,41,14,14,14,22,35,54,29,25,31,33,24,30,0,11,0,38,21,29,23,25,25,10,10,0,39,43,29,29,17,27,26,32,38,28,25,38,23,14,29,24,30,24,11,15,19,32,56,57,62,19,41
2022-04-03,0,9,0,13,23,40,27,39,36,26,19,30,0,6,6,36,34,47,19,30,37,29,20,15,23,15,33,26,28,26,21,29,39,56,32,32,0,63,63,23,19,28,14,25,31,10,6,6,27,39,48,30,25,34,23,26,35,11,21,43,33,21,36,25,25,26,5,9,5,31,49,48,30,17,34,35,33,42,32,27,40,20,20,31,26,17,29,9,13,20,41,50,39,34,25,42
2022-04-10,10,10,20,18,35,25,29,46,38,27,20,33,6,18,24,35,31,48,21,27,39,46,40,6,39,20,41,29,23,29,23,54,27,44,44,17,0,0,0,23,26,37,21,12,49,14,26,7,36,37,59,32,26,39,27,34,35,23,11,0,33,24,32,20,23,27,5,10,0,25,36,51,27,16,36,31,29,39,34,29,52,23,16,31,27,23,36,15,19,24,38,37,28,25,14,35
2022-04-17,0,40,51,15,19,23,17,20,16,26,23,28,0,6,24,38,33,52,21,26,32,24,24,30,34,14,40,27,26,24,40,43,22,34,34,25,0,24,24,24,20,38,34,27,29,17,11,9,30,44,61,34,26,46,25,38,34,23,34,12,28,21,36,28,18,28,0,19,0,29,26,44,28,14,31,34,35,38,32,26,38,25,15,32,29,25,38,17,14,22,57,41,50,36,16,37
2022-04-24,0,28,19,10,35,14,19,7,25,24,21,29,23,6,6,37,30,55,19,28,30,21,26,21,30,19,45,31,26,27,22,41,21,34,60,17,22,0,44,29,22,40,27,19,35,22,15,11,32,43,53,33,27,45,25,26,33,10,20,21,30,22,39,27,38,28,5,5,9,36,36,46,20,14,28,27,28,38,29,25,38,22,21,31,27,23,33,10,11,22,87,51,81,33,17,32
2022-05-01,9,18,18,17,7,14,29,19,35,25,20,28,12,31,24,36,31,58,20,29,38,37,21,16,35,18,36,30,21,33,27,30,41,26,43,78,0,0,25,22,20,44,33,23,31,9,11,7,35,36,63,32,27,48,33,27,39,11,21,11,27,17,36,22,29,30,19,5,0,42,37,34,23,16,34,40,25,35,33,25,42,19,20,29,22,21,34,15,18,20,64,55,84,32,12,38
2022-05-08,10,19,48,35,21,28,16,22,33,26,18,37,18,0,12,46,34,68,21,27,37,16,32,37,37,24,50,27,28,32,27,35,20,17,34,51,51,26,0,34,15,55,27,25,36,7,16,9,49,41,84,35,28,57,52,37,54,72,41,41,29,20,41,23,20,36,14,9,0,38,45,45,28,16,42,31,28,43,34,28,43,23,17,28,24,19,25,15,14,23,57,71,61,33,10,36
2022-05-15,76,9,0,30,17,30,11,44,21,24,20,41,34,6,28,51,36,73,25,28,43,25,20,25,44,20,56,30,20,32,67,29,39,59,42,50,0,0,0,27,16,81,29,16,42,25,14,11,54,32,88,31,38,60,37,31,57,22,22,11,31,20,49,34,32,33,5,0,5,48,38,52,24,14,47,31,33,56,39,30,53,24,17,34,31,23,38,16,17,33,50,53,69,37,19,31
2022-05-22,10,39,29,25,32,49,8,28,35,26,20,32,6,6,12,58,33,74,26,28,44,27,21,32,44,18,61,32,23,30,51,75,59,17,52,61,25,0,25,35,22,75,35,27,34,22,22,10,44,46,97,37,29,75,58,26,47,24,24,12,40,20,55,35,34,42,10,10,5,50,49,48,26,17,53,42,32,55,41,28,50,28,17,30,35,27,34,20,18,22,49,56,64,43,11,36
2022-05-29,0,31,10,29,48,22,32,41,26,27,19,38,12,0,18,50,30,75,25,27,46,22,22,11,43,28,67,40,24,33,35,38,77,27,45,27,52,0,0,30,20,87,54,24,59,23,5,23,57,45,95,37,30,76,48,34,56,25,51,26,29,22,55,39,29,39,5,20,10,41,56,52,23,15,45,41,32,47,41,29,57,20,20,32,28,16,33,10,17,25,45,61,33,54,14,32
2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
